Player,TEAM,AGE,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_corner_three,FGA_corner_three,FG%_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Aaron Gordon,ORL,23,243,383,63.4,48,140,34.3,58,176,33.0,17,52,32.7,19,40,47.5,36,92,39.1,85,251,33.9
Aaron Holiday,IND,22,30,52,57.7,13,36,36.1,19,47,40.4,2,6,33.3,3,10,30.0,5,16,31.3,38,110,34.5
Abdel Nader,OKC,25,43,78,55.1,14,30,46.7,2,8,25.0,6,20,30.0,9,20,45.0,15,40,37.5,17,58,29.3
Al Horford,BOS,33,148,206,71.8,73,143,51.0,93,170,54.7,4,9,44.4,2,12,16.7,6,21,28.6,67,182,36.8
Al-Farouq Aminu,POR,28,134,222,60.4,20,57,35.1,7,35,20.0,15,46,32.6,17,48,35.4,32,94,34.0,64,185,34.6
Alan Williams,BKN,26,4,5,80.0,3,6,50.0,1,1,100,0,0,0.0,0,0,0.0,0,0,,0,1,0.0
Alec Burks,SAC,27,89,157,56.7,20,77,26.0,22,72,30.6,8,24,33.3,4,10,40.0,12,34,35.3,49,132,37.1
Alex Abrines,OKC,25,10,18,55.6,0,2,0.0,5,10,50.0,5,15,33.3,5,12,41.7,10,27,37.0,31,98,31.6
Alex Caruso,LAL,25,40,80,50.0,7,25,28.0,6,18,33.3,3,7,42.9,1,5,20.0,4,12,33.3,20,38,52.6
Alex Len,ATL,26,214,345,62.0,23,68,33.8,9,31,29.0,14,40,35.0,24,64,37.5,38,104,36.5,36,99,36.4
Alex Poythress,ATL,25,30,53,56.6,1,3,33.3,0,2,0.0,4,11,36.4,4,7,57.1,8,18,44.4,1,5,20.0
Alfonzo McKinnie,GSW,26,79,119,66.4,7,19,36.8,6,19,31.6,16,37,43.2,6,26,23.1,22,63,34.9,20,55,36.4
Alize Johnson,IND,23,2,6,33.3,1,3,33.3,0,5,0.0,1,1,100,0,0,0.0,1,1,100,0,1,0.0
Allen Crabbe,BKN,27,20,36,55.6,7,26,26.9,13,53,24.5,15,29,51.7,15,32,46.9,30,61,49.2,67,195,34.4
Allonzo Trier,NYK,23,118,212,55.7,15,49,30.6,47,125,37.6,3,11,27.3,5,11,45.5,8,22,36.4,44,110,40.0
Amile Jefferson,ORL,26,9,12,75.0,1,4,25.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Amir Johnson,PHI,32,52,75,69.3,13,38,34.2,2,4,50.0,0,3,0.0,1,4,25.0,1,7,14.3,11,32,34.4
Andre Drummond,DET,25,459,745,61.6,88,232,37.9,9,37,24.3,1,4,25.0,0,3,0.0,1,7,14.3,4,24,16.7
Andre Iguodala,GSW,35,90,108,83.3,5,17,29.4,8,33,24.2,11,31,35.5,14,30,46.7,25,61,41.0,23,82,28.0
Andre Ingram,LAL,33,0,0,0.0,0,1,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,2,0.0
Andrew Bogut,GSW,34,13,24,54.2,4,10,40.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Andrew Harrison,NOP,24,8,14,57.1,2,5,40.0,1,9,11.1,0,1,0.0,1,3,33.3,1,4,25.0,4,20,20.0
Andrew Wiggins,MIN,24,210,360,58.3,60,184,32.6,111,320,34.7,23,39,59.0,6,22,27.3,29,61,47.5,88,282,31.2
Anfernee Simons,POR,20,9,12,75.0,3,10,30.0,6,12,50.0,2,5,40.0,0,0,0.0,2,5,40.0,8,24,33.3
Angel Delgado,LAC,24,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0.0,,,,0,0,,0,0,0.0
Ante Zizic,CLE,22,135,206,65.5,34,91,37.4,14,34,41.2,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Anthony Davis,NOP,26,307,429,71.6,92,218,42.2,83,234,35.5,5,6,83.3,1,5,20.0,6,11,54.5,42,133,31.6
Anthony Tolliver,MIN,34,12,25,48.0,2,9,22.2,4,9,44.4,10,29,34.5,11,32,34.4,21,61,34.4,60,155,38.7
Antonio Blakeney,CHI,22,41,66,62.1,49,117,41.9,41,123,33.3,16,31,51.6,4,8,50.0,20,39,51.3,15,50,30.0
Aron Baynes,BOS,32,63,115,54.8,13,28,46.4,8,19,42.1,2,5,40.0,2,6,33.3,4,11,36.4,17,50,34.0
Austin Rivers,HOU,26,89,149,59.7,35,85,41.2,4,11,36.4,10,42,23.8,13,32,40.6,23,74,31.1,81,252,32.1
Avery Bradley,MEM,28,50,107,46.7,25,66,37.9,87,192,45.3,24,64,37.5,11,28,39.3,35,92,38.0,51,148,34.5
BJ Johnson,SAC,23,1,4,25.0,2,2,100,3,5,60.0,2,3,66.7,0,0,0.0,2,3,66.7,1,3,33.3
Bam Adebayo,MIA,21,214,311,68.8,47,115,40.9,16,45,35.6,0,3,0.0,0,1,0.0,0,4,0.0,3,9,33.3
Ben McLemore,SAC,26,4,8,50.0,0,3,0.0,4,12,33.3,3,9,33.3,1,4,25.0,4,13,30.8,13,27,48.1
Ben Simmons,PHI,22,425,634,67.0,101,253,39.9,14,67,20.9,0,0,0.0,0,0,0.0,0,0,,0,6,0.0
Billy Garrett,NYK,24,5,6,83.3,3,6,50.0,3,7,42.9,0,0,0.0,0,0,0.0,0,0,,0,8,0.0
Bismack Biyombo,CHA,26,70,107,65.4,13,32,40.6,6,17,35.3,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Blake Griffin,DET,30,314,467,67.2,89,247,36.0,28,106,26.4,33,72,45.8,9,28,32.1,42,100,42.0,146,418,34.9
Boban Marjanovic,PHI,30,114,162,70.4,30,63,47.6,12,25,48.0,0,0,0.0,3,4,75.0,3,4,75.0,1,6,16.7
Bobby Portis,WAS,24,113,198,57.1,54,136,39.7,37,103,35.9,6,13,46.2,1,9,11.1,7,22,31.8,68,169,40.2
Bogdan Bogdanovic,SAC,26,100,181,55.2,67,164,40.9,60,146,41.1,8,20,40.0,8,23,34.8,16,43,37.2,118,326,36.2
Bojan Bogdanovic,IND,30,226,353,64.0,64,152,42.1,68,160,42.5,38,69,55.1,22,49,44.9,60,118,50.8,104,268,38.8
Bonzie Colson,MIL,23,6,13,46.2,1,2,50.0,1,3,33.3,0,5,0.0,2,3,66.7,2,8,25.0,3,12,25.0
Brad Wanamaker,BOS,29,17,23,73.9,8,21,38.1,9,22,40.9,0,1,0.0,0,0,0.0,0,1,0.0,16,38,42.1
Bradley Beal,WAS,26,337,501,67.3,71,166,42.8,147,345,42.6,22,51,43.1,16,39,41.0,38,90,42.2,171,506,33.8
Brandon Goodwin,DEN,23,4,8,50.0,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0.0,0,0,,2,6,33.3
Brandon Ingram,LAL,21,185,293,63.1,76,158,48.1,70,185,37.8,5,14,35.7,9,26,34.6,14,40,35.0,17,53,32.1
Brandon Knight,CLE,27,19,35,54.3,13,53,24.5,26,43,60.5,3,9,33.3,2,11,18.2,5,20,25.0,36,109,33.0
Brandon Sampson,CHI,22,12,19,63.2,5,10,50.0,0,2,0.0,2,7,28.6,2,2,100,4,9,44.4,7,20,35.0
Brook Lopez,MIL,31,108,144,75.0,45,97,46.4,15,33,45.5,13,26,50.0,18,49,36.7,31,75,41.3,156,437,35.7
Bruce Brown,DET,22,82,153,53.6,17,61,27.9,2,7,28.6,7,23,30.4,9,21,42.9,16,44,36.4,8,46,17.4
Bruno Caboclo,MEM,23,40,69,58.0,5,22,22.7,3,4,75.0,12,33,36.4,7,21,33.3,19,54,35.2,29,75,38.7
Bryn Forbes,SAS,25,54,94,57.4,47,106,44.3,84,178,47.2,17,29,58.6,11,20,55.0,28,49,57.1,148,361,41.0
Buddy Hield,SAC,26,180,292,61.6,41,131,31.3,125,287,43.6,40,76,52.6,29,58,50.0,69,134,51.5,208,514,40.5
C.J. Williams,MIN,29,6,9,66.7,1,4,25.0,5,6,83.3,0,1,0.0,0,3,0.0,0,4,0.0,5,12,41.7
CJ McCollum,POR,27,145,264,54.9,99,215,46.0,160,319,50.2,12,22,54.5,9,20,45.0,21,42,50.0,146,402,36.3
CJ Miles,MEM,32,21,46,45.7,10,28,35.7,14,34,41.2,9,21,42.9,11,28,39.3,20,49,40.8,47,153,30.7
Caleb Swanigan,SAC,22,12,21,57.1,4,17,23.5,1,8,12.5,1,3,33.3,0,1,0.0,1,4,25.0,0,3,0.0
Cameron Payne,CLE,24,34,59,57.6,22,43,51.2,15,38,39.5,4,5,80.0,2,10,20.0,6,15,40.0,19,67,28.4
Cameron Reynolds,MIN,24,4,10,40.0,4,7,57.1,4,10,40.0,5,9,55.6,1,7,14.3,6,16,37.5,15,35,42.9
Caris LeVert,BKN,24,106,180,58.9,49,125,39.2,4,24,16.7,4,9,44.4,2,7,28.6,6,16,37.5,42,138,30.4
Carmelo Anthony,HOU,35,12,20,60.0,4,7,57.1,12,30,40.0,0,1,0.0,1,2,50.0,1,3,33.3,20,61,32.8
Cedi Osman,CLE,24,154,264,58.3,36,100,36.0,40,106,37.7,14,43,32.6,16,47,34.0,30,90,33.3,100,283,35.3
Chandler Hutchison,CHI,23,60,101,59.4,15,40,37.5,8,19,42.1,5,14,35.7,2,9,22.2,7,23,30.4,6,23,26.1
Chandler Parsons,MEM,30,21,39,53.8,8,21,38.1,10,28,35.7,3,9,33.3,2,12,16.7,5,21,23.8,24,73,32.9
Channing Frye,CLE,36,4,7,57.1,2,10,20.0,5,21,23.8,1,4,25.0,2,3,66.7,3,7,42.9,29,72,40.3
Chasson Randle,WAS,26,37,67,55.2,5,20,25.0,3,15,20.0,2,9,22.2,6,17,35.3,8,26,30.8,38,89,42.7
Cheick Diallo,NOP,22,102,142,71.8,35,69,50.7,30,56,53.6,0,1,0.0,0,1,0.0,0,2,0.0,1,1,100
Chimezie Metu,SAS,22,7,17,41.2,10,20,50.0,2,19,10.5,0,0,0.0,0,0,0.0,0,0,,0,2,0.0
Chris Boucher,TOR,26,22,35,62.9,0,3,0.0,0,1,0.0,1,3,33.3,2,5,40.0,3,8,37.5,9,29,31.0
Chris Chiozza,HOU,23,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,1,1,100,1,2,50.0,1,3,33.3
Chris Paul,HOU,34,40,72,55.6,69,152,45.4,68,143,47.6,9,22,40.9,11,37,29.7,20,59,33.9,104,291,35.7
Christian Wood,NOP,23,40,58,69.0,8,24,33.3,4,9,44.4,0,1,0.0,1,4,25.0,1,5,20.0,8,21,38.1
Clint Capela,HOU,25,436,617,70.7,38,109,34.9,0,6,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Cody Zeller,CHA,26,146,226,64.6,35,87,40.2,3,10,30.0,0,0,0.0,0,0,0.0,0,0,,6,22,27.3
Collin Sexton,CLE,20,194,361,53.7,61,181,33.7,145,370,39.2,9,22,40.9,2,13,15.4,11,35,31.4,108,258,41.9
Corey Brewer,SAC,33,36,55,65.5,2,18,11.1,1,6,16.7,3,11,27.3,3,7,42.9,6,18,33.3,8,26,30.8
Cory Joseph,IND,27,57,96,59.4,42,96,43.8,72,185,38.9,7,17,41.2,6,22,27.3,13,39,33.3,41,128,32.0
Courtney Lee,DAL,33,11,21,52.4,8,14,57.1,18,39,46.2,4,11,36.4,6,9,66.7,10,20,50.0,6,35,17.1
Cristiano Felicio,CHI,26,82,133,61.7,9,31,29.0,4,11,36.4,0,0,0.0,0,0,0.0,0,0,,0,4,0.0
D'Angelo Russell,BKN,23,132,241,54.8,161,337,47.8,132,304,43.4,13,33,39.4,12,19,63.2,25,52,48.1,209,582,35.9
D.J. Augustin,ORL,31,123,203,60.6,31,92,33.7,33,71,46.5,20,37,54.1,9,19,47.4,29,56,51.8,102,251,40.6
D.J. Wilson,MIL,23,37,66,56.1,12,31,38.7,9,27,33.3,7,22,31.8,12,32,37.5,19,54,35.2,27,73,37.0
DJ Stephens,MEM,28,1,2,50.0,0,0,0.0,0,0,0.0,,,,,,,0,0,,0,0,0.0
Dairis Bertans,NOP,29,0,0,0.0,0,1,0.0,2,12,16.7,0,3,0.0,2,4,50.0,2,7,28.6,8,27,29.6
Damian Jones,GSW,24,49,63,77.8,2,7,28.6,2,4,50.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Damian Lillard,POR,28,265,481,55.1,48,125,38.4,131,284,46.1,5,14,35.7,5,18,27.8,10,32,31.3,227,608,37.3
Damion Lee,GSW,26,9,18,50.0,8,15,53.3,12,26,46.2,10,14,71.4,3,11,27.3,13,25,52.0,14,43,32.6
Damyean Dotson,NYK,25,73,128,57.0,10,48,20.8,81,181,44.8,17,33,51.5,11,28,39.3,28,61,45.9,98,279,35.1
Daniel Hamilton,ATL,23,10,20,50.0,4,14,28.6,1,3,33.3,2,9,22.2,2,2,100,4,11,36.4,4,12,33.3
Daniel Theis,BOS,27,98,130,75.4,11,32,34.4,11,37,29.7,0,1,0.0,0,4,0.0,0,5,0.0,26,62,41.9
Danilo Gallinari,LAC,30,134,230,58.3,42,94,44.7,73,189,38.6,2,9,22.2,6,12,50.0,8,21,38.1,152,348,43.7
Danny Green,TOR,32,50,81,61.7,19,55,34.5,26,59,44.1,32,68,47.1,61,116,52.6,93,184,50.5,105,249,42.2
Dante Cunningham,SAS,32,29,48,60.4,12,27,44.4,4,18,22.2,8,23,34.8,10,20,50.0,18,43,41.9,12,21,57.1
Dante Exum,UTA,23,64,119,53.8,18,55,32.7,1,5,20.0,4,11,36.4,7,23,30.4,11,34,32.4,7,28,25.0
Danuel House Jr.,HOU,26,41,64,64.1,2,8,25.0,1,2,50.0,11,23,47.8,19,54,35.2,30,77,39.0,44,101,43.6
Dario Saric,MIN,25,143,225,63.6,19,71,26.8,24,78,30.8,9,26,34.6,13,33,39.4,22,59,37.3,96,263,36.5
Darius Miller,NOP,29,12,18,66.7,11,29,37.9,34,74,45.9,14,32,43.8,11,37,29.7,25,69,36.2,107,293,36.5
Darren Collison,IND,31,103,178,57.9,18,53,34.0,109,236,46.2,15,31,48.4,20,35,57.1,35,66,53.0,43,125,34.4
Daryl Macon,DAL,23,2,3,66.7,1,4,25.0,2,9,22.2,0,0,0.0,0,1,0.0,0,1,0.0,5,10,50.0
David Nwaba,CLE,26,72,117,61.5,29,64,45.3,1,6,16.7,6,16,37.5,8,24,33.3,14,40,35.0,10,34,29.4
Davis Bertans,SAS,26,28,37,75.7,10,36,27.8,21,42,50.0,11,23,47.8,17,25,68.0,28,48,58.3,117,287,40.8
Davon Reed,IND,24,3,4,75.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,,2,4,50.0
De'Aaron Fox,SAC,21,235,375,62.7,103,278,37.1,81,217,37.3,4,17,23.5,6,17,35.3,10,34,29.4,76,198,38.4
De'Anthony Melton,PHX,21,43,77,55.8,21,53,39.6,7,31,22.6,3,15,20.0,7,12,58.3,10,27,37.0,19,68,27.9
DeAndre Jordan,NYK,30,268,392,68.4,17,45,37.8,1,9,11.1,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
DeAndre' Bembry,ATL,24,189,322,58.7,34,103,33.0,2,18,11.1,6,29,20.7,9,24,37.5,15,53,28.3,35,119,29.4
DeMar DeRozan,SAS,29,222,319,69.6,178,396,44.9,224,553,40.5,4,13,30.8,2,9,22.2,6,22,27.3,1,22,4.5
DeMarcus Cousins,GSW,28,116,177,65.5,26,72,36.1,10,27,37.0,1,4,25.0,0,1,0.0,1,5,20.0,25,90,27.8
DeMarre Carroll,BKN,32,82,139,59.0,26,87,29.9,14,40,35.0,18,41,43.9,16,55,29.1,34,96,35.4,71,213,33.3
DeVaughn Akoon-Purcell,DEN,26,3,5,60.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,3,0.0
Deandre Ayton,PHX,20,325,447,72.7,93,191,48.7,91,228,39.9,0,1,0.0,0,0,0.0,0,1,0.0,0,3,0.0
Delon Wright,MEM,27,153,260,58.8,32,101,31.7,7,29,24.1,6,17,35.3,9,20,45.0,15,37,40.5,35,126,27.8
Demetrius Jackson,PHI,24,3,5,60.0,1,1,100,2,3,66.7,0,0,0.0,1,1,100,1,1,100,1,5,20.0
Deng Adel,CLE,22,2,6,33.3,1,3,33.3,2,4,50.0,1,4,25.0,1,2,50.0,2,6,33.3,4,17,23.5
Dennis Schroder,OKC,25,156,303,51.5,78,204,38.2,99,232,42.7,12,27,44.4,8,26,30.8,20,53,37.7,104,307,33.9
Dennis Smith Jr.,NYK,21,151,267,56.6,22,68,32.4,38,107,35.5,3,8,37.5,5,13,38.5,8,21,38.1,59,186,31.7
Deonte Burton,OKC,25,19,36,52.8,3,10,30.0,3,9,33.3,1,7,14.3,1,5,20.0,2,12,16.7,6,15,40.0
Derrick Favors,UTA,27,281,389,72.2,44,98,44.9,21,55,38.2,6,29,20.7,7,35,20.0,13,64,20.3,4,13,30.8
Derrick Jones Jr.,MIA,22,122,192,63.5,7,35,20.0,3,6,50.0,13,37,35.1,8,22,36.4,21,59,35.6,7,29,24.1
Derrick Rose,MIN,30,152,244,62.3,60,152,39.5,98,212,46.2,8,19,42.1,3,5,60.0,11,24,45.8,42,118,35.6
Derrick White,SAS,24,101,167,60.5,59,125,47.2,52,109,47.7,1,6,16.7,8,18,44.4,9,24,37.5,39,118,33.1
Devin Booker,PHX,22,203,324,62.7,117,225,52.0,131,292,44.9,6,16,37.5,5,14,35.7,11,30,36.7,123,378,32.5
Devin Harris,DAL,36,48,85,56.5,14,34,41.2,8,28,28.6,10,28,35.7,3,11,27.3,13,39,33.3,49,158,31.0
Devin Robinson,WAS,24,11,15,73.3,5,8,62.5,3,7,42.9,0,0,0.0,0,0,0.0,0,0,,0,2,0.0
Devonte' Graham,CHA,24,26,50,52.0,4,16,25.0,10,29,34.5,2,7,28.6,7,13,53.8,9,20,45.0,25,96,26.0
Dewayne Dedmon,ATL,29,134,195,68.7,25,71,35.2,18,44,40.9,8,17,47.1,21,51,41.2,29,68,42.6,53,148,35.8
Deyonta Davis,ATL,22,14,17,82.4,0,1,0.0,1,3,33.3,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0
Dillon Brooks,MEM,23,21,45,46.7,6,17,35.3,7,20,35.0,1,2,50.0,1,4,25.0,2,6,33.3,13,33,39.4
Dion Waiters,MIA,27,65,123,52.8,6,19,31.6,18,47,38.3,27,55,49.1,10,31,32.3,37,86,43.0,72,202,35.6
Dirk Nowitzki,DAL,41,3,5,60.0,13,27,48.1,55,139,39.6,1,5,20.0,6,16,37.5,7,21,33.3,57,183,31.1
Domantas Sabonis,IND,23,279,392,71.2,76,162,46.9,49,129,38.0,1,2,50.0,0,1,0.0,1,3,33.3,8,14,57.1
Donatas Motiejunas,SAS,28,1,2,50.0,2,3,66.7,0,1,0.0,0,0,0.0,,,,0,0,,0,0,0.0
Donovan Mitchell,UTA,22,242,410,59.0,147,391,37.6,84,210,40.0,14,36,38.9,13,34,38.2,27,70,38.6,160,444,36.0
Donte DiVincenzo,MIL,22,26,33,78.8,1,5,20.0,1,3,33.3,3,9,33.3,2,8,25.0,5,17,29.4,17,66,25.8
Donte Grantham,OKC,24,0,0,0.0,,,,0,0,0.0,,,,0,0,0.0,0,0,,0,2,0.0
Dorian Finney-Smith,DAL,26,130,211,61.6,10,34,29.4,9,30,30.0,11,40,27.5,19,54,35.2,30,94,31.9,49,155,31.6
Doug McDermott,IND,27,83,123,67.5,15,29,51.7,25,64,39.1,26,58,44.8,10,22,45.5,36,80,45.0,48,125,38.4
Dragan Bender,PHX,21,60,79,75.9,6,15,40.0,0,2,0.0,4,15,26.7,2,12,16.7,6,27,22.2,16,74,21.6
Draymond Green,GSW,29,111,165,67.3,18,55,32.7,12,37,32.4,3,11,27.3,7,11,63.6,10,22,45.5,37,142,26.1
Drew Eubanks,SAS,22,4,9,44.4,10,13,76.9,1,4,25.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Duncan Robinson,MIA,25,6,7,85.7,0,0,0.0,2,4,50.0,0,3,0.0,3,5,60.0,3,8,37.5,7,27,25.9
Dusty Hannahs,MEM,25,3,5,60.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,4,0.0
Dwayne Bacon,CHA,23,59,85,69.4,18,57,31.6,7,28,25.0,10,23,43.5,4,7,57.1,14,30,46.7,24,57,42.1
Dwight Howard,WAS,33,36,47,76.6,3,12,25.0,4,10,40.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Dwight Powell,DAL,27,235,303,77.6,15,42,35.7,1,14,7.1,1,5,20.0,3,6,50.0,4,11,36.4,35,116,30.2
Dwyane Wade,MIA,37,167,269,62.1,87,201,43.3,76,230,33.0,27,58,46.6,4,13,30.8,31,71,43.7,54,186,29.0
Dzanan Musa,BKN,20,4,5,80.0,3,5,60.0,1,2,50.0,0,1,0.0,0,1,0.0,0,2,0.0,1,8,12.5
E'Twaun Moore,NOP,30,85,138,61.6,69,146,47.3,26,72,36.1,14,35,40.0,5,23,21.7,19,58,32.8,57,118,48.3
Ed Davis,BKN,30,176,264,66.7,10,35,28.6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,,0,2,0.0
Edmond Sumner,IND,23,10,26,38.5,3,4,75.0,2,7,28.6,2,6,33.3,1,2,50.0,3,8,37.5,4,19,21.1
Ekpe Udoh,UTA,32,39,50,78.0,11,20,55.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Elfrid Payton,NOP,25,103,198,52.0,38,98,38.8,6,12,50.0,0,1,0.0,1,6,16.7,1,7,14.3,31,96,32.3
Elie Okobo,PHX,21,49,81,60.5,14,43,32.6,12,34,35.3,2,8,25.0,2,7,28.6,4,15,26.7,35,116,30.2
Emanuel Terry,MIA,22,4,7,57.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Emmanuel Mudiay,NYK,23,134,256,52.3,61,130,46.9,67,146,45.9,8,17,47.1,6,19,31.6,14,36,38.9,54,172,31.4
Enes Kanter,POR,27,308,481,64.0,43,117,36.8,14,51,27.5,0,0,0.0,1,1,100,1,1,100,9,33,27.3
Eric Bledsoe,MIL,29,284,415,68.4,41,116,35.3,21,63,33.3,4,21,19.0,12,37,32.4,16,58,27.6,108,319,33.9
Eric Gordon,HOU,30,138,220,62.7,22,98,22.4,8,20,40.0,11,26,42.3,18,49,36.7,29,75,38.7,187,525,35.6
Eric Moreland,TOR,27,1,4,25.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,1,1,100
Ersan Ilyasova,MIL,32,87,145,60.0,8,36,22.2,14,40,35.0,4,18,22.2,10,24,41.7,14,42,33.3,44,117,37.6
Evan Fournier,ORL,26,169,269,62.8,68,167,40.7,77,183,42.1,27,64,42.2,6,19,31.6,33,83,39.8,121,365,33.2
Evan Turner,POR,30,92,149,61.7,43,116,37.1,58,126,46.0,2,10,20.0,2,8,25.0,4,18,22.2,7,34,20.6
Frank Jackson,NOP,21,102,162,63.0,23,61,37.7,16,55,29.1,9,38,23.7,13,34,38.2,22,72,30.6,31,97,32.0
Frank Kaminsky,CHA,26,59,90,65.6,26,51,51.0,3,18,16.7,0,6,0.0,1,6,16.7,1,12,8.3,49,127,38.6
Frank Mason,SAC,25,31,50,62.0,14,30,46.7,12,25,48.0,0,2,0.0,1,4,25.0,1,6,16.7,13,58,22.4
Frank Ntilikina,NYK,20,22,47,46.8,20,58,34.5,21,63,33.3,4,11,36.4,2,13,15.4,6,24,25.0,26,89,29.2
Fred VanVleet,TOR,25,87,168,51.8,11,45,24.4,36,91,39.6,12,28,42.9,15,28,53.6,27,56,48.2,85,239,35.6
Furkan Korkmaz,PHI,21,32,47,68.1,13,35,37.1,7,21,33.3,2,5,40.0,8,21,38.1,10,26,38.5,36,113,31.9
Garrett Temple,LAC,33,82,124,66.1,14,42,33.3,22,63,34.9,25,61,41.0,17,49,34.7,42,110,38.2,48,154,31.2
Gary Clark,HOU,24,8,10,80.0,1,3,33.3,0,0,0.0,3,18,16.7,4,23,17.4,7,41,17.1,34,97,35.1
Gary Harris,DEN,24,122,214,57.0,43,104,41.3,23,76,30.3,16,42,38.1,12,28,42.9,28,70,40.0,54,172,31.4
