TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Atlanta Hawks,2018-19,20.4,33.5,61.1,5.1,13.6,37.8,2.8,7.8,36.3,1.7,4.5,37.3,2.2,5.4,40.6,9.1,26.9,34.0
Boston Celtics,2018-19,16.7,26.0,64.4,5.7,13.3,42.7,7.1,16.8,42.3,1.5,3.6,41.8,1.1,3.8,28.2,10.0,27.0,37.1
Brooklyn Nets,2018-19,18.9,30.8,61.2,5.5,14.6,37.6,3.2,8.2,38.8,1.3,3.5,38.5,1.3,3.7,35.9,10.0,28.7,34.9
Charlotte Hornets,2018-19,17.6,29.6,59.4,5.8,14.3,40.9,4.9,12.1,40.6,1.4,3.8,36.7,1.4,3.2,45.4,9.1,26.5,34.2
Chicago Bulls,2018-19,18.3,30.5,60.0,7.1,17.0,41.5,5.4,14.5,37.1,1.4,3.5,38.9,1.0,2.5,41.8,6.7,19.7,33.9
Cleveland Cavaliers,2018-19,16.1,27.0,59.7,6.1,15.9,38.5,6.3,15.6,40.5,1.5,3.7,39.9,0.9,2.8,32.0,8.0,22.6,35.4
Dallas Mavericks,2018-19,17.1,26.4,65.0,5.1,13.1,39.1,4.1,10.8,37.9,1.4,3.6,39.5,1.5,3.9,37.5,9.6,28.8,33.3
Denver Nuggets,2018-19,18.3,29.0,63.3,7.7,17.8,43.3,4.9,12.0,41.1,1.4,3.5,38.5,1.2,2.8,41.1,8.4,24.7,34.1
Detroit Pistons,2018-19,16.9,27.9,60.7,5.5,14.9,37.0,4.3,10.8,40.2,1.9,5.0,38.3,1.6,4.3,37.8,8.6,25.2,34.1
Golden State Warriors,2018-19,16.8,24.9,67.8,4.8,10.9,43.8,9.2,19.6,46.9,1.6,3.8,43.0,1.4,3.3,42.0,10.2,27.1,37.7
Houston Rockets,2018-19,16.8,26.4,63.8,4.2,10.8,39.0,2.1,4.8,43.2,1.7,4.7,37.0,2.5,6.7,36.8,11.9,33.8,35.2
Indiana Pacers,2018-19,18.9,30.4,62.4,5.5,12.9,42.6,7.4,18.4,40.3,1.5,3.5,43.4,1.1,2.7,42.2,6.8,19.1,35.9
LA Clippers,2018-19,18.8,31.1,60.6,6.8,16.6,40.9,5.7,14.1,40.1,1.3,3.3,39.8,1.1,2.5,43.2,7.6,19.8,38.5
Los Angeles Lakers,2018-19,23.2,35.8,64.6,4.7,12.6,36.9,4.4,11.1,39.7,1.2,3.5,34.0,1.2,3.4,35.6,7.9,23.9,33.1
Memphis Grizzlies,2018-19,16.3,26.4,61.9,6.8,16.7,40.9,4.9,12.5,39.5,1.4,3.7,37.2,1.2,3.4,34.5,7.4,21.7,33.9
Miami Heat,2018-19,18.3,29.2,62.6,6.2,15.5,39.9,3.9,11.0,35.3,2.1,4.9,42.0,1.3,3.9,32.2,8.0,23.3,34.2
Milwaukee Bucks,2018-19,22.6,34.1,66.2,4.1,10.5,38.9,3.2,8.4,38.6,1.4,3.8,37.2,1.5,4.0,39.1,10.5,30.4,34.7
Minnesota Timberwolves,2018-19,18.5,29.4,62.9,6.3,16.0,39.3,6.8,17.2,39.7,1.3,3.4,38.9,1.2,3.2,37.7,7.5,21.9,34.3
New Orleans Pelicans,2018-19,21.5,33.2,64.7,7.6,17.6,43.4,4.4,11.7,37.4,1.3,3.3,38.0,1.0,3.1,31.9,7.9,23.1,34.2
New York Knicks,2018-19,17.4,30.0,57.9,4.7,12.5,37.3,6.2,16.4,37.8,0.9,2.5,33.8,1.0,2.8,35.1,8.2,24.0,34.0
Oklahoma City Thunder,2018-19,21.0,34.0,61.8,4.9,13.3,37.0,5.4,14.2,38.0,1.4,4.1,34.9,1.9,4.7,39.9,8.0,23.5,34.1
Orlando Magic,2018-19,16.3,25.5,63.9,5.7,14.0,40.6,7.0,17.5,40.2,1.5,4.1,36.9,1.0,2.4,40.1,9.0,25.3,35.3
Philadelphia 76ers,2018-19,19.0,28.8,65.9,5.7,14.2,40.3,6.0,15.1,40.0,1.0,2.3,41.2,1.2,3.5,35.4,8.7,24.3,35.7
Phoenix Suns,2018-19,18.4,29.1,63.2,6.5,15.1,43.0,5.6,13.9,40.3,1.2,3.6,34.1,1.2,3.6,32.4,7.2,21.9,33.0
Portland Trail Blazers,2018-19,19.7,32.7,60.4,4.9,12.0,41.2,6.6,15.3,43.6,1.0,2.6,38.9,0.8,2.4,33.2,9.2,25.6,36.0
Sacramento Kings,2018-19,18.9,30.0,63.0,7.0,17.9,39.1,6.0,15.3,39.1,1.4,3.4,40.1,1.2,3.0,38.9,8.8,23.4,37.5
San Antonio Spurs,2018-19,14.0,21.5,65.2,7.6,16.8,45.4,10.8,24.9,43.3,1.1,2.5,45.1,1.2,2.7,46.2,7.5,19.9,37.9
Toronto Raptors,2018-19,18.3,28.6,63.9,5.9,13.8,42.9,5.6,12.8,43.5,2.1,5.0,42.4,2.0,4.7,42.8,8.3,23.9,34.5
Utah Jazz,2018-19,20.2,31.0,65.1,4.7,12.5,37.6,3.4,8.8,38.7,2.0,5.2,39.6,1.8,5.0,36.0,8.2,23.6,34.9
Washington Wizards,2018-19,20.5,30.8,66.6,4.5,11.5,39.3,5.8,14.5,39.9,1.2,3.7,32.0,1.6,4.0,40.7,8.5,25.5,33.5
Atlanta Hawks,2017-18,16.4,27.0,60.8,4.2,11.8,36.0,6.4,15.8,40.3,1.7,4.3,39.6,1.7,3.7,46.1,7.7,22.6,34.1
Boston Celtics,2017-18,15.0,25.3,59.2,4.9,13.0,37.9,7.0,16.4,42.5,1.5,3.4,42.7,1.3,3.4,39.6,8.6,23.4,37.0
Brooklyn Nets,2017-18,16.4,26.5,61.7,5.5,14.6,38.0,3.6,10.0,36.3,1.4,4.0,36.3,1.4,3.7,37.5,9.9,27.8,35.5
Charlotte Hornets,2017-18,16.2,26.5,61.2,5.7,14.1,40.1,7.1,18.9,37.5,0.8,2.4,35.6,0.8,2.1,37.4,8.4,22.5,37.4
Chicago Bulls,2017-18,15.3,25.8,59.2,5.6,14.2,39.5,6.7,17.8,37.9,1.2,3.1,37.9,1.1,2.9,37.1,8.8,24.9,35.4
Cleveland Cavaliers,2017-18,18.6,27.1,68.5,3.5,9.6,36.9,6.3,16.0,39.6,1.8,4.4,41.2,1.7,4.2,41.2,8.4,23.4,36.0
Dallas Mavericks,2017-18,14.5,23.3,62.3,4.9,12.4,39.7,7.0,17.4,39.9,1.3,3.2,39.2,1.1,2.5,45.6,9.4,26.8,35.0
Denver Nuggets,2017-18,18.2,28.6,63.4,6.3,15.4,41.2,4.8,11.7,40.7,1.1,2.8,39.4,1.2,2.7,45.5,9.1,25.1,36.4
Detroit Pistons,2017-18,16.0,25.9,61.9,5.7,16.2,35.4,6.5,16.0,40.9,1.2,3.2,37.6,1.5,3.7,41.0,8.1,21.8,37.1
Golden State Warriors,2017-18,17.0,24.9,68.3,5.0,11.2,44.9,9.5,20.1,47.0,1.1,2.7,39.2,0.9,2.1,41.1,9.3,23.7,39.4
Houston Rockets,2017-18,17.3,26.9,64.3,3.1,8.1,37.6,3.0,6.9,44.4,1.9,4.7,40.5,2.0,5.3,38.8,11.3,32.1,35.3
Indiana Pacers,2017-18,17.2,27.6,62.2,5.2,12.2,42.6,9.4,22.1,42.6,1.1,3.0,37.6,1.3,2.7,48.1,6.6,18.6,35.6
LA Clippers,2017-18,20.7,32.9,63.0,5.4,13.7,39.2,4.7,12.0,38.9,1.2,3.5,33.4,0.9,2.7,35.2,7.4,20.5,36.0
Los Angeles Lakers,2017-18,20.7,32.4,63.8,5.3,14.0,37.7,4.8,13.0,36.8,1.0,2.7,38.3,1.0,2.4,40.4,8.0,23.8,33.7
Memphis Grizzlies,2017-18,16.9,28.3,59.7,4.3,12.1,35.3,6.4,16.2,39.3,1.0,2.8,34.3,0.9,2.4,36.0,7.4,20.7,35.7
Miami Heat,2017-18,17.4,27.3,63.5,5.1,13.0,39.2,5.4,14.4,37.1,1.3,3.7,36.3,1.8,4.5,40.4,7.9,22.2,35.5
Milwaukee Bucks,2017-18,18.6,28.8,64.5,5.1,12.3,41.4,7.3,17.3,42.3,1.2,3.0,39.3,1.5,3.7,41.7,6.0,17.8,33.8
Minnesota Timberwolves,2017-18,17.0,25.7,65.9,7.7,17.1,44.8,8.4,20.9,40.3,1.3,3.4,38.4,0.8,2.0,41.8,5.9,16.9,34.7
New Orleans Pelicans,2017-18,19.2,29.5,65.0,7.0,15.2,46.1,6.3,15.5,40.7,1.5,3.7,39.3,1.4,3.4,40.2,7.4,21.0,35.3
New York Knicks,2017-18,16.9,27.0,62.6,6.5,14.9,43.6,9.1,22.5,40.3,1.3,2.9,43.1,0.7,1.9,36.8,6.3,18.3,34.2
Oklahoma City Thunder,2017-18,18.2,29.5,61.7,3.7,9.3,40.0,7.2,18.9,38.3,1.3,3.5,37.1,1.5,4.0,37.3,7.9,22.6,35.0
Orlando Magic,2017-18,17.0,26.0,65.6,5.7,15.6,36.8,5.7,15.0,38.2,1.3,3.4,38.1,0.7,2.1,33.5,8.3,23.6,35.0
Philadelphia 76ers,2017-18,18.1,27.0,67.2,5.5,14.7,37.1,6.3,15.1,41.5,0.8,2.2,34.4,1.1,2.6,43.6,9.1,24.8,36.7
Phoenix Suns,2017-18,17.9,29.8,60.1,5.1,13.6,37.7,6.1,15.8,38.6,1.3,3.3,38.7,0.9,2.8,33.0,7.1,21.5,32.9
Portland Trail Blazers,2017-18,16.1,27.7,58.1,5.4,13.4,40.5,7.5,17.7,42.2,1.0,2.7,37.4,1.0,2.5,39.6,8.3,22.9,36.3
Sacramento Kings,2017-18,14.9,24.0,61.9,6.9,17.9,38.6,8.0,20.4,39.5,1.1,3.0,38.1,1.0,2.2,45.3,6.8,18.4,37.1
San Antonio Spurs,2017-18,15.8,24.7,63.8,6.1,15.3,40.0,8.7,21.3,40.8,1.2,3.0,39.7,1.2,2.8,40.8,6.1,18.1,33.9
Toronto Raptors,2017-18,18.8,29.0,65.0,5.5,13.2,41.9,5.2,12.4,41.6,1.8,4.8,36.6,1.5,3.6,42.8,8.5,24.3,34.9
Utah Jazz,2017-18,17.2,26.7,64.4,5.0,13.2,37.6,5.3,13.4,39.5,1.9,4.5,41.5,1.7,4.0,42.0,7.3,20.9,34.8
Washington Wizards,2017-18,15.1,23.7,63.9,6.0,14.3,42.2,8.9,21.2,41.9,0.9,2.6,35.0,1.1,2.7,41.0,7.9,20.9,37.7
Atlanta Hawks,2016-17,17.8,29.8,59.9,3.5,9.5,37.0,7.8,19.0,41.2,1.0,2.9,34.7,1.4,3.3,41.4,6.5,19.6,33.1
Boston Celtics,2016-17,16.6,27.3,61.0,4.3,10.2,41.7,5.7,14.2,40.4,1.4,3.6,38.8,1.6,3.9,42.1,8.9,25.6,34.9
Brooklyn Nets,2016-17,17.5,29.7,59.1,5.4,12.7,42.4,4.2,11.2,37.5,1.2,3.7,34.0,1.4,3.3,41.6,8.0,24.3,33.1
Charlotte Hornets,2016-17,15.2,25.5,59.8,4.7,11.5,40.7,7.7,19.7,39.3,0.8,2.2,36.4,0.7,1.7,38.7,8.5,24.4,35.0
Chicago Bulls,2016-17,15.9,27.0,59.0,5.7,13.3,42.9,9.4,24.5,38.5,1.6,3.5,44.8,1.1,3.1,36.1,4.9,15.6,31.5
Cleveland Cavaliers,2016-17,16.5,25.4,64.7,3.3,8.6,38.4,7.2,17.0,42.2,2.3,5.4,43.7,1.9,4.9,39.3,8.7,23.4,37.1
Dallas Mavericks,2016-17,11.5,18.6,61.8,4.9,10.9,44.9,9.1,22.7,40.2,1.1,3.0,37.6,1.2,3.2,36.6,8.4,23.8,35.4
Denver Nuggets,2016-17,19.6,32.4,60.6,5.3,11.8,44.8,5.7,14.7,38.4,1.2,3.3,35.3,1.0,2.4,41.5,8.5,22.9,37.0
Detroit Pistons,2016-17,14.8,24.0,61.5,6.8,16.7,40.8,10.6,24.7,42.8,1.0,2.5,39.3,0.8,2.3,36.6,5.9,18.2,32.2
Golden State Warriors,2016-17,19.0,28.4,67.0,4.3,9.8,43.7,7.8,17.6,44.2,1.4,3.1,43.0,1.4,3.5,39.4,9.2,24.2,38.1
Houston Rockets,2016-17,20.1,31.1,64.6,3.3,8.8,37.3,2.5,7.1,36.1,1.4,3.8,37.6,1.8,4.5,39.5,11.1,31.7,35.1
Indiana Pacers,2016-17,14.7,24.1,60.9,6.2,13.9,44.7,9.7,23.5,41.3,1.4,3.6,39.0,1.1,2.6,42.5,6.0,16.4,36.6
LA Clippers,2016-17,16.5,25.8,64.1,3.4,8.7,39.3,9.3,21.3,43.8,1.3,3.0,43.5,1.1,2.9,39.1,7.7,20.9,36.8
Los Angeles Lakers,2016-17,17.7,29.3,60.5,6.1,15.2,40.4,6.5,17.2,38.2,1.2,3.1,37.5,1.1,2.9,37.3,6.6,19.3,34.0
Memphis Grizzlies,2016-17,15.1,26.7,56.4,5.2,12.9,40.1,6.8,17.5,38.8,1.1,2.7,42.2,1.0,2.6,38.8,7.2,20.8,34.7
Miami Heat,2016-17,16.6,27.2,61.0,6.0,14.2,42.0,6.6,17.4,38.0,1.7,4.1,42.4,1.6,4.2,38.2,6.5,18.4,35.2
Milwaukee Bucks,2016-17,19.5,31.3,62.4,4.8,12.1,39.4,5.7,14.7,38.8,1.2,3.3,36.2,1.5,3.6,41.1,6.0,16.5,36.5
Minnesota Timberwolves,2016-17,17.5,28.0,62.5,5.3,12.1,43.7,9.3,23.2,40.0,1.3,3.3,38.5,1.0,2.4,39.2,5.1,15.1,33.7
New Orleans Pelicans,2016-17,16.4,27.1,60.5,5.6,13.3,42.4,7.7,19.7,39.1,1.3,3.3,39.0,1.0,2.7,36.2,7.1,20.5,34.4
New York Knicks,2016-17,15.9,27.8,57.2,4.3,10.6,40.2,10.8,25.3,42.5,1.3,3.1,41.7,1.2,2.7,43.0,6.1,18.5,33.0
Oklahoma City Thunder,2016-17,19.8,32.9,60.1,5.2,11.9,43.2,6.1,16.7,36.5,1.1,3.1,36.4,1.2,3.6,33.2,6.1,18.9,32.2
Orlando Magic,2016-17,15.2,25.2,60.3,5.9,14.2,41.8,8.6,21.5,40.1,0.8,2.7,28.9,0.7,2.3,31.4,7.0,20.8,33.9
Philadelphia 76ers,2016-17,17.9,29.3,60.9,4.3,11.2,38.6,5.4,15.0,35.7,1.2,2.7,43.6,0.9,2.3,37.1,8.0,24.6,32.8
Phoenix Suns,2016-17,18.0,29.7,60.7,5.7,13.6,42.1,8.6,22.7,38.1,1.1,3.3,32.8,1.0,3.0,32.4,5.5,16.1,33.9
Portland Trail Blazers,2016-17,16.3,28.2,57.7,4.9,11.5,42.8,8.0,18.7,42.7,1.0,2.8,34.5,1.2,2.9,40.6,8.2,21.8,37.8
Sacramento Kings,2016-17,15.9,25.9,61.4,5.6,13.9,40.7,7.4,18.5,39.8,1.2,3.0,39.3,1.3,2.9,43.5,6.5,17.8,36.6
San Antonio Spurs,2016-17,14.5,23.2,62.5,5.3,12.3,43.0,10.3,24.7,41.8,1.4,3.2,44.8,1.4,3.4,41.3,6.4,16.7,37.9
Toronto Raptors,2016-17,15.4,25.1,61.4,6.5,14.6,44.4,8.4,20.3,41.5,1.4,3.9,36.1,1.2,3.0,40.5,6.2,17.3,36.0
Utah Jazz,2016-17,16.5,26.3,62.5,4.9,11.6,42.4,6.0,15.6,38.3,1.5,3.8,38.4,1.4,3.6,38.2,6.8,18.3,37.0
Washington Wizards,2016-17,17.4,28.3,61.5,5.1,11.8,43.2,9.6,22.1,43.3,1.0,3.1,33.7,1.2,3.4,35.9,6.9,18.1,38.3
Atlanta Hawks,2015-16,17.8,29.5,60.3,3.9,9.8,39.3,7.0,16.7,41.9,1.2,3.3,35.1,1.4,3.7,37.5,7.4,21.2,34.8
Boston Celtics,2015-16,18.4,30.6,60.2,4.5,12.2,37.2,7.5,20.3,37.0,1.2,3.1,37.8,1.0,3.1,32.2,6.6,19.7,33.3
Brooklyn Nets,2015-16,15.7,26.7,59.0,7.3,16.9,43.3,8.7,22.4,38.8,1.1,3.0,37.3,1.1,2.8,40.4,4.2,12.5,34.0
Charlotte Hornets,2015-16,14.4,24.7,58.0,4.4,10.9,40.6,7.6,19.4,39.2,1.2,2.8,41.8,1.0,2.4,40.4,8.5,24.1,35.3
Chicago Bulls,2015-16,15.7,28.3,55.6,4.8,12.5,38.3,10.2,25.3,40.2,0.9,2.6,35.3,1.1,2.3,45.2,6.0,16.3,36.6
Cleveland Cavaliers,2015-16,16.0,25.1,63.7,4.5,11.4,39.7,7.4,17.9,41.6,1.5,3.8,39.0,1.7,4.3,39.8,7.5,21.4,35.1
Dallas Mavericks,2015-16,14.2,22.8,62.1,4.8,11.6,41.7,8.5,21.2,40.3,1.4,3.8,35.7,1.1,2.5,43.4,7.4,22.0,33.4
Denver Nuggets,2015-16,18.6,32.7,56.9,4.3,11.3,38.4,6.8,17.7,38.3,1.1,3.0,36.0,0.7,2.2,31.9,6.2,18.3,33.8
Detroit Pistons,2015-16,16.0,27.2,58.8,5.7,15.0,38.2,7.2,18.0,39.8,1.1,3.4,32.9,1.4,3.5,40.5,6.5,18.8,34.3
Golden State Warriors,2015-16,18.1,28.5,63.6,4.2,10.8,38.8,7.1,16.4,43.4,1.5,3.8,40.7,1.5,3.7,41.9,10.0,23.9,41.9
Houston Rockets,2015-16,18.5,30.1,61.2,4.4,11.5,38.4,4.2,11.0,37.9,1.6,4.3,38.1,1.8,5.4,33.7,7.2,20.8,34.7
Indiana Pacers,2015-16,15.8,25.5,61.9,4.6,10.8,42.7,9.8,25.8,38.0,1.5,3.8,38.1,1.1,2.8,41.3,5.4,16.1,33.5
LA Clippers,2015-16,15.0,22.9,65.2,3.9,9.5,41.2,9.7,23.3,41.8,1.4,3.4,40.4,1.3,3.0,43.5,6.9,19.7,34.9
Los Angeles Lakers,2015-16,13.7,24.4,56.3,5.3,13.3,40.3,8.3,22.6,36.5,0.9,2.7,32.4,0.7,2.2,32.0,6.2,19.3,31.9
Memphis Grizzlies,2015-16,16.4,29.1,56.4,5.6,14.6,38.3,8.7,21.4,40.6,0.9,2.7,34.4,0.7,2.5,29.7,4.4,13.1,33.9
Miami Heat,2015-16,17.7,27.1,65.3,5.5,13.9,39.8,9.1,22.6,40.3,1.1,3.4,31.9,1.4,3.5,39.4,3.6,10.9,32.7
Milwaukee Bucks,2015-16,19.8,33.0,60.1,5.5,13.5,40.5,7.7,20.2,38.2,0.8,2.4,35.2,0.8,2.2,35.3,3.7,10.6,34.8
Minnesota Timberwolves,2015-16,17.0,26.8,63.7,5.0,11.8,42.5,10.1,26.3,38.5,0.8,2.1,38.3,0.5,1.4,38.2,4.2,12.8,32.8
New Orleans Pelicans,2015-16,16.4,28.3,57.8,4.3,11.5,37.8,9.2,22.3,41.2,1.0,2.9,33.8,0.9,2.8,32.3,6.7,18.0,37.1
New York Knicks,2015-16,13.1,23.0,57.2,4.7,11.7,40.4,11.5,27.8,41.5,1.2,2.9,43.2,0.9,2.3,37.8,5.3,16.2,33.0
Oklahoma City Thunder,2015-16,18.7,30.8,60.7,5.1,11.1,46.2,9.0,20.7,43.6,1.3,3.6,36.2,1.2,3.5,35.1,5.7,16.5,34.7
Orlando Magic,2015-16,16.5,27.5,60.0,5.3,12.8,41.4,10.0,24.4,41.0,1.1,3.0,35.4,1.0,2.5,38.3,5.7,16.4,35.0
Philadelphia 76ers,2015-16,17.3,29.2,59.2,4.3,12.4,34.6,5.3,14.8,35.8,1.3,3.3,38.0,1.2,3.3,36.1,6.8,20.6,33.1
Phoenix Suns,2015-16,16.7,28.4,58.7,4.0,11.0,36.7,7.5,20.3,36.9,1.0,3.0,34.1,1.2,3.0,38.5,6.8,19.6,34.7
Portland Trail Blazers,2015-16,15.5,26.8,57.8,4.0,10.3,39.0,8.5,20.2,42.3,1.6,3.9,41.8,1.1,3.2,36.2,7.8,21.3,36.6
Sacramento Kings,2015-16,19.0,30.4,62.6,5.7,15.4,37.2,7.2,18.2,39.7,1.1,2.3,47.1,1.2,3.0,38.1,5.8,16.9,34.4
San Antonio Spurs,2015-16,15.7,24.1,65.0,6.1,13.5,45.3,11.4,26.8,42.5,0.9,2.6,36.0,1.1,2.8,39.7,4.9,12.9,37.8
Toronto Raptors,2015-16,15.6,26.2,59.5,5.5,13.3,41.0,7.0,18.4,37.7,1.6,4.1,39.1,1.3,2.9,43.3,5.8,16.1,35.8
Utah Jazz,2015-16,15.6,25.9,60.2,5.3,13.3,39.8,6.7,17.4,38.7,1.6,3.8,41.6,1.5,4.0,37.9,5.4,15.9,34.0
Washington Wizards,2015-16,16.6,26.8,62.2,4.5,10.9,41.7,9.6,23.9,40.3,1.0,3.1,33.2,1.4,3.2,43.1,6.2,17.7,35.3
Atlanta Hawks,2014-15,15.9,26.3,60.7,4.8,11.7,40.9,7.4,17.5,42.1,1.4,3.4,41.8,1.7,4.0,42.3,6.9,18.9,36.5
Boston Celtics,2014-15,16.3,27.2,59.8,4.6,11.7,39.2,10.0,24.3,41.1,1.1,2.8,39.7,0.9,2.5,34.3,6.1,19.2,31.8
Brooklyn Nets,2014-15,14.8,25.0,59.0,7.8,17.3,45.0,8.3,20.7,40.0,1.3,3.1,40.5,0.9,2.6,35.6,4.4,13.9,31.7
Charlotte Hornets,2014-15,13.3,24.0,55.2,5.0,12.8,38.9,11.2,28.6,39.2,0.7,1.6,41.5,0.7,1.9,36.7,4.7,15.5,30.6
Chicago Bulls,2014-15,16.1,28.7,56.1,4.4,11.2,39.4,8.2,20.7,39.5,1.0,2.8,37.1,1.0,2.3,42.6,5.9,17.1,34.5
Cleveland Cavaliers,2014-15,16.3,26.3,62.0,4.2,11.3,37.0,7.1,17.1,41.6,1.5,4.2,36.3,1.5,3.9,37.2,7.1,19.3,36.6
Dallas Mavericks,2014-15,17.2,27.3,62.9,4.1,10.6,39.1,9.4,22.5,41.9,1.3,3.2,40.3,1.1,2.8,38.3,6.6,19.3,34.0
Denver Nuggets,2014-15,17.4,29.5,59.1,5.0,13.7,36.9,7.3,19.4,37.5,1.0,3.2,32.3,1.0,2.9,35.6,6.0,18.5,32.5
Detroit Pistons,2014-15,17.3,30.4,57.0,5.1,14.5,35.1,6.1,16.1,38.1,1.2,3.0,40.2,1.3,3.3,38.3,6.1,18.4,33.2
Golden State Warriors,2014-15,17.7,27.2,64.8,5.0,12.7,39.1,8.2,20.0,40.8,1.3,3.1,40.8,1.6,3.2,49.6,8.0,20.6,38.7
Houston Rockets,2014-15,17.4,28.9,60.4,5.2,12.9,40.6,3.0,8.9,33.2,1.9,5.0,37.7,2.4,5.9,40.4,7.1,21.5,32.9
Indiana Pacers,2014-15,13.3,23.0,57.7,5.3,12.7,41.5,10.5,26.3,40.1,1.2,3.1,38.7,1.0,2.7,37.9,5.3,15.3,34.5
Los Angeles Clippers,2014-15,14.7,22.5,65.1,4.0,9.5,42.5,10.6,24.4,43.4,1.4,3.9,37.5,1.5,3.5,42.0,7.2,19.4,37.0
